name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Cambodia,3/18/2022,35,26,29,41.9,26,33,23.8,74.6,2.5,100,12.5,rain,0,0,33.5,15.8,185.6,1006.3,49.9,10,165,14.4,7,30,2022-03-18T06:06:05,2022-03-18T18:11:20,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VDPP,48991099999,remote"
Cambodia,3/19/2022,36,25,29.6,41.9,25,32.5,23,69.6,1,100,20.83,rain,0,0,43.6,22.3,152.8,1005.7,48.3,9.7,255.4,22.1,8,30,2022-03-19T06:05:29,2022-03-19T18:11:21,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VDPP,48991099999"
Cambodia,3/20/2022,36,25,29.3,40.8,25,32.3,23.8,75.2,3.8,100,25,rain,0,0,38.9,20.5,135.3,1006.8,66.2,9.1,240,20.7,7,30,2022-03-20T06:04:52,2022-03-20T18:11:23,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VDPP,48991099999"
Cambodia,3/21/2022,33,25,28,39.2,25,31.5,24.4,82.3,4,100,33.33,rain,0,0,34.2,20.5,156,1008.3,49.5,9.8,178.6,15.4,7,10,2022-03-21T06:04:14,2022-03-21T18:11:25,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VDPP,48991099999,remote"
Cambodia,3/22/2022,34,25,27.4,39.3,25,29.3,24.6,86.3,2.2,100,29.17,rain,0,0,57.6,27.7,159.7,1009.1,58.9,9,178.5,15.3,6,10,2022-03-22T06:03:37,2022-03-22T18:11:26,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VDPP,48991099999"
Cambodia,3/23/2022,34,25,28.4,39.3,25,31.2,24.1,79.8,0.2,100,8.33,rain,0,0,42.5,16.6,177.7,1008.7,50,9.5,258.2,22.5,10,30,2022-03-23T06:03:00,2022-03-23T18:11:28,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VDPP,48991099999"
Cambodia,3/24/2022,35,26,30.5,40.6,26,34.9,24,70.1,0.3,100,12.5,rain,0,0,27.4,14.8,150.3,1008,49,9.5,180.4,15.8,9,30,2022-03-24T06:02:22,2022-03-24T18:11:29,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"VDPP,48991099999"
Cambodia,3/25/2022,35,27,30.8,40.6,29.9,36,24.1,69.1,0.1,100,4.17,rain,0,0,34.6,20.5,166.9,1008.7,44,10.2,218.6,18.9,10,30,2022-03-25T06:01:45,2022-03-25T18:11:30,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VDPP,48991099999,remote"
Cambodia,3/26/2022,36,27,31.2,43.2,30.6,36.4,24,67.7,0.1,100,4.17,rain,0,0,29.5,13,157.2,1009.3,44.4,9.7,293.2,25.2,10,60,2022-03-26T06:01:07,2022-03-26T18:11:31,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VDPP,48991099999"
Cambodia,3/27/2022,36,27,30.7,41.9,31.2,35.8,24.1,70,4.4,100,20.83,rain,0,0,29.9,29.5,177.2,1008.5,38.6,10.3,201.8,17.3,10,30,2022-03-27T06:00:30,2022-03-27T18:11:33,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VDPP,48991099999,remote"
Cambodia,3/28/2022,34,25,28.9,40.6,25,32.6,24,76.1,2.9,100,37.5,rain,0,0,31,24.1,206.2,1009,49.4,10.3,176.8,15.2,10,60,2022-03-28T05:59:53,2022-03-28T18:11:34,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VDPP,48991099999,remote"
Cambodia,3/29/2022,33,26,28.2,38.1,26,30.9,23.6,76.9,2.3,100,16.67,rain,0,0,29.5,16.6,184,1008.7,50,9.4,205.7,17.7,9,30,2022-03-29T05:59:15,2022-03-29T18:11:35,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VDPP,48991099999"
Cambodia,3/30/2022,34,24,28.4,39.3,24,31,23.2,74.8,4,100,29.17,rain,0,0,27.4,16.6,350.2,1007.7,50,9.5,198.3,17.3,10,30,2022-03-30T05:58:38,2022-03-30T18:11:36,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VDPP,48991099999"
